sentence,sentiment,lem_words,lem_tags,word_tags
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",1,be love pongsri compare suan be slow service overpriced,VB NN NN VB VB VB JJ NN JJ,"['be/VB', 'love/NN', 'pongsri/NN', 'compare/VB', 'suan/VB', 'be/VB', 'slow/JJ', 'service/NN', 'overpriced/JJ']"
Molto bene!,1,molto bene,NN NN,"['molto/NN', 'bene/NN']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
"Recommendations, of course, are required!",1,recommendation course be require,NN NN VB VB,"['recommendation/NN', 'course/NN', 'be/VB', 'require/VB']"
I thought going to Jimmys would give me a real Domincan exprience.,1,think go jimmy give real domincan exprience,VB VB NN VB JJ NN NN,"['think/VB', 'go/VB', 'jimmy/NN', 'give/VB', 'real/JJ', 'domincan/NN', 'exprience/NN']"
I'm sure I'll return for a final judgement tho.,1,sure ll return final judgement tho,JJ NN NN JJ NN NN,"['sure/JJ', 'll/NN', 'return/NN', 'final/JJ', 'judgement/NN', 'tho/NN']"
I've been here twice now.,1,have be here twice now,VB VB RB RB RB,"['have/VB', 'be/VB', 'here/RB', 'twice/RB', 'now/RB']"
"Better than the bagel shop on the corner, but not worth going out of your way for, in my opinion.",1,better bagel shop corner not worth go way opinion,JJ NN NN JJ RB JJ VB NN NN,"['better/JJ', 'bagel/NN', 'shop/NN', 'corner/JJ', 'not/RB', 'worth/JJ', 'go/VB', 'way/NN', 'opinion/NN']"
"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",1,call morning didn think be able get be able get other guest,VB NN VB VB VB JJ VB VB JJ VB JJ NN,"['call/VB', 'morning/NN', 'didn/VB', 'think/VB', 'be/VB', 'able/JJ', 'get/VB', 'be/VB', 'able/JJ', 'get/VB', 'other/JJ', 'guest/NN']"
I have eaten a lot of pizza here.,1,have eat lot pizza here,VB VB NN NN RB,"['have/VB', 'eat/VB', 'lot/NN', 'pizza/NN', 'here/RB']"
i would recommend reservations on weekends though.,1,recommend reservation weekend,VB NN NN,"['recommend/VB', 'reservation/NN', 'weekend/NN']"
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",1,new avenue restaurant offer far best value money,JJ NN NN NN RB JJ NN NN,"['new/JJ', 'avenue/NN', 'restaurant/NN', 'offer/NN', 'far/RB', 'best/JJ', 'value/NN', 'money/NN']"
"Great bagels, spreads and a good place to hang out in.",1,great bagel spread good place hang,JJ NN NN JJ NN VB,"['great/JJ', 'bagel/NN', 'spread/NN', 'good/JJ', 'place/NN', 'hang/VB']"
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",1,be love pongsri compare suan be slow service overpriced,VB NN NN VB VB VB JJ NN JJ,"['be/VB', 'love/NN', 'pongsri/NN', 'compare/VB', 'suan/VB', 'be/VB', 'slow/JJ', 'service/NN', 'overpriced/JJ']"
Sit outside in the warm weather; inside for cozy winter.,1,sit outside warm weather inside cozy winter,NN NN JJ NN NN JJ NN,"['sit/NN', 'outside/NN', 'warm/JJ', 'weather/NN', 'inside/NN', 'cozy/JJ', 'winter/NN']"
"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.",1,feeling stress noise congestion office head cafe st bart,NN VB NN NN NN NN NN NN NN,"['feeling/NN', 'stress/VB', 'noise/NN', 'congestion/NN', 'office/NN', 'head/NN', 'cafe/NN', 'st/NN', 'bart/NN']"
They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,1,be open more place see flyer there yonker be restraunt banquet hall one parsipanny new jersey,VB VB JJ NN VB NN RB NN VB NN NN NN NN JJ JJ NN,"['be/VB', 'open/VB', 'more/JJ', 'place/NN', 'see/VB', 'flyer/NN', 'there/RB', 'yonker/NN', 'be/VB', 'restraunt/NN', 'banquet/NN', 'hall/NN', 'one/NN', 'parsipanny/JJ', 'new/JJ', 'jersey/NN']"
Went to Village last night for my birthday.,1,go village last night birthday,VB NN JJ NN NN,"['go/VB', 'village/NN', 'last/JJ', 'night/NN', 'birthday/NN']"
I haven't been to the other locations.,1,haven be other location,NN VB JJ NN,"['haven/NN', 'be/VB', 'other/JJ', 'location/NN']"
"i have eaten here a handful of times, for no reason besides sheer convenience.",1,have eat here handful time reason sheer convenience,VB VB RB NN NN NN NN NN,"['have/VB', 'eat/VB', 'here/RB', 'handful/NN', 'time/NN', 'reason/NN', 'sheer/NN', 'convenience/NN']"
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",1,be not most experienced person come thai food friend take be,VB RB RB JJ NN VB VB NN NN VB VB,"['be/VB', 'not/RB', 'most/RB', 'experienced/JJ', 'person/NN', 'come/VB', 'thai/VB', 'food/NN', 'friend/NN', 'take/VB', 'be/VB']"
"Compared to Ess-a, Tal offers a less doughy bagel!",1,compare es tal offer less doughy bagel,VB VB NN NN JJ JJ NN,"['compare/VB', 'es/VB', 'tal/NN', 'offer/NN', 'less/JJ', 'doughy/JJ', 'bagel/NN']"
My friends and I were on vacation in NY and was referred to Chance by a friend.,1,friend be vacation ny be refer chance friend,NN VB NN NN VB VB NN NN,"['friend/NN', 'be/VB', 'vacation/NN', 'ny/NN', 'be/VB', 'refer/VB', 'chance/NN', 'friend/NN']"
We weren't even at our table for more than an hour total.,1,weren even table more hour total,VB RB NN JJ NN NN,"['weren/VB', 'even/RB', 'table/NN', 'more/JJ', 'hour/NN', 'total/NN']"
Our friends have not arrived yet.,1,friend have not arrive yet,NN VB RB VB RB,"['friend/NN', 'have/VB', 'not/RB', 'arrive/VB', 'yet/RB']"
I lived in Maine for ten years and grew up on fish.,1,live maine year grow fish,VB NN NN VB NN,"['live/VB', 'maine/NN', 'year/NN', 'grow/VB', 'fish/NN']"
I have eaten at many pizza places around NYC and this is hands down the worst.,1,have eat many pizza place nyc be hand worst,VB VB JJ NN NN NN VB NN JJ,"['have/VB', 'eat/VB', 'many/JJ', 'pizza/NN', 'place/NN', 'nyc/NN', 'be/VB', 'hand/NN', 'worst/JJ']"
Went to Cafe Spice with 4 of my friends on a saturday night.,1,go cafe spice friend saturday night,VB NN NN NN NN NN,"['go/VB', 'cafe/NN', 'spice/NN', 'friend/NN', 'saturday/NN', 'night/NN']"
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",1,downtown dinner fix appetizer be waiter give poor suggestion try potato stuff kanish best,JJ NN VB NN VB NN VB JJ NN VB NN NN VB RB,"['downtown/JJ', 'dinner/NN', 'fix/VB', 'appetizer/NN', 'be/VB', 'waiter/NN', 'give/VB', 'poor/JJ', 'suggestion/NN', 'try/VB', 'potato/NN', 'stuff/NN', 'kanish/VB', 'best/RB']"
Stuffing yourself with Japanese food is a rare thing.,1,stuff japanese food be rare thing,VB JJ NN VB JJ NN,"['stuff/VB', 'japanese/JJ', 'food/NN', 'be/VB', 'rare/JJ', 'thing/NN']"
My son and his girlfriend both wanted cheeseburgers and they were huge!,1,son girlfriend want cheeseburger be huge,NN NN VB NN VB JJ,"['son/NN', 'girlfriend/NN', 'want/VB', 'cheeseburger/NN', 'be/VB', 'huge/JJ']"
Went to Cafe Spice with 4 of my friends on a saturday night.,1,go cafe spice friend saturday night,VB NN NN NN NN NN,"['go/VB', 'cafe/NN', 'spice/NN', 'friend/NN', 'saturday/NN', 'night/NN']"
We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,1,eat outside haru sake bar haru restaurant next door be overflow,VB JJ NN NN NN NN NN JJ NN VB VB,"['eat/VB', 'outside/JJ', 'haru/NN', 'sake/NN', 'bar/NN', 'haru/NN', 'restaurant/NN', 'next/JJ', 'door/NN', 'be/VB', 'overflow/VB']"
Even the pasta is delicious here (a rarity in New York pizza restaurants).,1,even pasta be delicious here rarity new york pizza restaurant,RB NN VB JJ RB NN NN NN NN NN,"['even/RB', 'pasta/NN', 'be/VB', 'delicious/JJ', 'here/RB', 'rarity/NN', 'new/NN', 'york/NN', 'pizza/NN', 'restaurant/NN']"
"Just remember, the later you go, the longer you may have to wait.",1,just remember later go longer have wait,RB VB JJ VB JJ VB VB,"['just/RB', 'remember/VB', 'later/JJ', 'go/VB', 'longer/JJ', 'have/VB', 'wait/VB']"
Just make sure my ice water is kept full and my tea kettle filled with piping hot tea and that's all the service I need...,1,just make sure ice water be keep full tea kettle fill piping hot tea service need,RB VB JJ NN NN VB VB JJ NN NN VB NN JJ NN NN VB,"['just/RB', 'make/VB', 'sure/JJ', 'ice/NN', 'water/NN', 'be/VB', 'keep/VB', 'full/JJ', 'tea/NN', 'kettle/NN', 'fill/VB', 'piping/NN', 'hot/JJ', 'tea/NN', 'service/NN', 'need/VB']"
Its located in greenewich village.,1,locate greenewich village,VB JJ NN,"['locate/VB', 'greenewich/JJ', 'village/NN']"
Went here on a friend's reccomendation.,1,go here friend reccomendation,VB RB NN NN,"['go/VB', 'here/RB', 'friend/NN', 'reccomendation/NN']"
esp. during happy hour!,1,esp happy hour,NN JJ NN,"['esp/NN', 'happy/JJ', 'hour/NN']"
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",1,be love pongsri compare suan be slow service overpriced,VB NN NN VB VB VB JJ NN JJ,"['be/VB', 'love/NN', 'pongsri/NN', 'compare/VB', 'suan/VB', 'be/VB', 'slow/JJ', 'service/NN', 'overpriced/JJ']"
Have the iced tea.,1,have iced tea,VB JJ NN,"['have/VB', 'iced/JJ', 'tea/NN']"
Ciao Bella,1,ciao bella,NN NN,"['ciao/NN', 'bella/NN']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
After passing by this restaurant for sometime I finally decided to go in and have dinner.,1,pass restaurant sometime finally decide go have dinner,VB NN RB RB VB VB VB NN,"['pass/VB', 'restaurant/NN', 'sometime/RB', 'finally/RB', 'decide/VB', 'go/VB', 'have/VB', 'dinner/NN']"
Went here on a friend's reccomendation.,1,go here friend reccomendation,VB RB NN NN,"['go/VB', 'here/RB', 'friend/NN', 'reccomendation/NN']"
I thought going to Jimmys would give me a real Domincan exprience.,1,think go jimmy give real domincan exprience,VB VB NN VB JJ NN NN,"['think/VB', 'go/VB', 'jimmy/NN', 'give/VB', 'real/JJ', 'domincan/NN', 'exprience/NN']"
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",1,lazy folk don want come alphabet city say good stay out,JJ NN VB VB VB NN NN VB JJ NN RB,"['lazy/JJ', 'folk/NN', 'don/VB', 'want/VB', 'come/VB', 'alphabet/NN', 'city/NN', 'say/VB', 'good/JJ', 'stay/NN', 'out/RB']"
"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",1,be serious sushi lover sit sushi bar be closer action,VB JJ NN NN VB NN NN VB JJ NN,"['be/VB', 'serious/JJ', 'sushi/NN', 'lover/NN', 'sit/VB', 'sushi/NN', 'bar/NN', 'be/VB', 'closer/JJ', 'action/NN']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
enough said!,1,enough say,RB VB,"['enough/RB', 'say/VB']"
"The menu consisted of standard brassiere food, better then places like Balthazar etc.",1,menu consist standard brassiere food better then place balthazar etc,NN VB JJ NN NN RB RB VB NN NN,"['menu/NN', 'consist/VB', 'standard/JJ', 'brassiere/NN', 'food/NN', 'better/RB', 'then/RB', 'place/VB', 'balthazar/NN', 'etc/NN']"
i don't usually order wine with indian so i can't comment on their wine list or their wines.,1,don usually order wine indian comment wine list wine,VB RB NN NN NN VB NN NN NN,"['don/VB', 'usually/RB', 'order/NN', 'wine/NN', 'indian/NN', 'comment/VB', 'wine/NN', 'list/NN', 'wine/NN']"
I think the stuff was better than Disney.,1,think stuff be better disney,VB NN VB RB NN,"['think/VB', 'stuff/NN', 'be/VB', 'better/RB', 'disney/NN']"
"(i hang out, and live, in the neighborhood..) ",1,hang out live neighborhood,NN RB VB NN,"['hang/NN', 'out/RB', 'live/VB', 'neighborhood/NN']"
You fellas above says its the best Taiwanese restaurant in town.,1,fella say best restaurant town,NN VB JJ NN NN,"['fella/NN', 'say/VB', 'best/JJ', 'restaurant/NN', 'town/NN']"
I can't believe people complain about no cheese sticks?,1,believe person complain cheese stick,VB NN VB NN NN,"['believe/VB', 'person/NN', 'complain/VB', 'cheese/NN', 'stick/NN']"
Everything we had was good or ok....but definitely nothing great.,1,everything have be good definitely nothing great,NN VB VB JJ RB NN JJ,"['everything/NN', 'have/VB', 'be/VB', 'good/JJ', 'definitely/RB', 'nothing/NN', 'great/JJ']"
"Rao is a good restaurant, but it's nothing special.",1,rao be good restaurant nothing special,NN VB JJ NN NN JJ,"['rao/NN', 'be/VB', 'good/JJ', 'restaurant/NN', 'nothing/NN', 'special/JJ']"
Old school meets New world.,1,old school meet new world,JJ NN VB JJ NN,"['old/JJ', 'school/NN', 'meet/VB', 'new/JJ', 'world/NN']"
"Bagels are ok, but be sure not to make any special requests!",1,bagel be be sure not make special request,NN VB VB JJ RB VB JJ NN,"['bagel/NN', 'be/VB', 'be/VB', 'sure/JJ', 'not/RB', 'make/VB', 'special/JJ', 'request/NN']"
We visited Orsay during NY Restaurant Week and tried their $35 menu.,1,visit orsay ny restaurant week try menu,VB JJ JJ NN NN VB NN,"['visit/VB', 'orsay/JJ', 'ny/JJ', 'restaurant/NN', 'week/NN', 'try/VB', 'menu/NN']"
I have eaten a lot of pizza here.,1,have eat lot pizza here,VB VB NN NN RB,"['have/VB', 'eat/VB', 'lot/NN', 'pizza/NN', 'here/RB']"
"Compared to other shabu restaurants around town, this places wins hands-down.",1,compare other shabu restaurant town place win hand,VB JJ NN NN NN NN VB NN,"['compare/VB', 'other/JJ', 'shabu/NN', 'restaurant/NN', 'town/NN', 'place/NN', 'win/VB', 'hand/NN']"
enough said!,1,enough say,RB VB,"['enough/RB', 'say/VB']"
Went here on a friend's reccomendation.,1,go here friend reccomendation,VB RB NN NN,"['go/VB', 'here/RB', 'friend/NN', 'reccomendation/NN']"
I have never before eaten 40 pieces of relatively good nigiri.,1,have never before eat piece relatively good nigiri,VB RB VB VB NN RB JJ NN,"['have/VB', 'never/RB', 'before/VB', 'eat/VB', 'piece/NN', 'relatively/RB', 'good/JJ', 'nigiri/NN']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
"I love Ess-a-bagel, but I live on the west side, so I often go to Murray's for convenience.",1,love ess bagel live west side often go murray convenience,NN RB NN VB JJ NN RB VB VB NN,"['love/NN', 'ess/RB', 'bagel/NN', 'live/VB', 'west/JJ', 'side/NN', 'often/RB', 'go/VB', 'murray/VB', 'convenience/NN']"
"Compared to other shabu restaurants around town, this places wins hands-down.",1,compare other shabu restaurant town place win hand,VB JJ NN NN NN NN VB NN,"['compare/VB', 'other/JJ', 'shabu/NN', 'restaurant/NN', 'town/NN', 'place/NN', 'win/VB', 'hand/NN']"
We all ordered different entrees so we could share.,1,ordered different entree share,JJ JJ NN NN,"['ordered/JJ', 'different/JJ', 'entree/NN', 'share/NN']"
We all ordered different entrees so we could share.,1,ordered different entree share,JJ JJ NN NN,"['ordered/JJ', 'different/JJ', 'entree/NN', 'share/NN']"
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",1,however want great food great price don mind decor beat place,RB VB JJ NN JJ NN VB VB NN NN NN,"['however/RB', 'want/VB', 'great/JJ', 'food/NN', 'great/JJ', 'price/NN', 'don/VB', 'mind/VB', 'decor/NN', 'beat/NN', 'place/NN']"
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. ,1,stumble second floor walk friday be friend town,VB JJ NN VB NN VB NN NN,"['stumble/VB', 'second/JJ', 'floor/NN', 'walk/VB', 'friday/NN', 'be/VB', 'friend/NN', 'town/NN']"
Visited there while on vacation and reading the reviews.,1,visit there vacation read reviews,VB RB NN VB NN,"['visit/VB', 'there/RB', 'vacation/NN', 'read/VB', 'reviews/NN']"
Service is average.,1,service be average,NN VB JJ,"['service/NN', 'be/VB', 'average/JJ']"
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",1,be leave couple standing door say waiter re not hurry,VB VB NN NN NN VB NN NN RB NN,"['be/VB', 'leave/VB', 'couple/NN', 'standing/NN', 'door/NN', 'say/VB', 'waiter/NN', 're/NN', 'not/RB', 'hurry/NN']"
Much more reasonably priced too!,1,much more reasonably price too,RB RB RB VB RB,"['much/RB', 'more/RB', 'reasonably/RB', 'price/VB', 'too/RB']"
"That place was awesome,,,  sally !",1,place be awesome sally,NN VB JJ VB,"['place/NN', 'be/VB', 'awesome/JJ', 'sally/VB']"
So eat fast and order a lot.,1,so eat fast order lot,RB RB JJ NN NN,"['so/RB', 'eat/RB', 'fast/JJ', 'order/NN', 'lot/NN']"
"No, really.",1,really,RB,['really/RB']
You can't say its cheap because food is cheaper in Chinatown.,1,say cheap food be cheaper chinatown,VB JJ NN VB JJ JJ,"['say/VB', 'cheap/JJ', 'food/NN', 'be/VB', 'cheaper/JJ', 'chinatown/JJ']"
sometimes i get good food and ok service.,1,sometimes get good food service,RB VB JJ NN NN,"['sometimes/RB', 'get/VB', 'good/JJ', 'food/NN', 'service/NN']"
"A large is $20, and toppings are about $3 each.",1,large be topping be,JJ VB NN VB,"['large/JJ', 'be/VB', 'topping/NN', 'be/VB']"
"Just remember, the later you go, the longer you may have to wait.",1,just remember later go longer have wait,RB VB JJ VB JJ VB VB,"['just/RB', 'remember/VB', 'later/JJ', 'go/VB', 'longer/JJ', 'have/VB', 'wait/VB']"
We all ordered different entrees so we could share.,1,ordered different entree share,JJ JJ NN NN,"['ordered/JJ', 'different/JJ', 'entree/NN', 'share/NN']"
And I've been to many NYC delis.,1,have be many nyc deli,VB VB JJ NN NN,"['have/VB', 'be/VB', 'many/JJ', 'nyc/NN', 'deli/NN']"
I have eaten at many pizza places around NYC and this is hands down the worst.,1,have eat many pizza place nyc be hand worst,VB VB JJ NN NN NN VB NN JJ,"['have/VB', 'eat/VB', 'many/JJ', 'pizza/NN', 'place/NN', 'nyc/NN', 'be/VB', 'hand/NN', 'worst/JJ']"
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",1,still quibble bill be off set pour own measure liquer be courtesey house,RB NN NN VB RB NN NN JJ NN NN VB NN NN,"['still/RB', 'quibble/NN', 'bill/NN', 'be/VB', 'off/RB', 'set/NN', 'pour/NN', 'own/JJ', 'measure/NN', 'liquer/NN', 'be/VB', 'courtesey/NN', 'house/NN']"
I went there with my friend last saturday.,1,go there friend last saturday,VB RB NN JJ NN,"['go/VB', 'there/RB', 'friend/NN', 'last/JJ', 'saturday/NN']"
So eat fast and order a lot.,1,so eat fast order lot,RB RB JJ NN NN,"['so/RB', 'eat/RB', 'fast/JJ', 'order/NN', 'lot/NN']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
esp. during happy hour!,1,esp happy hour,NN JJ NN,"['esp/NN', 'happy/JJ', 'hour/NN']"
I have never before eaten 40 pieces of relatively good nigiri.,1,have never before eat piece relatively good nigiri,VB RB VB VB NN RB JJ NN,"['have/VB', 'never/RB', 'before/VB', 'eat/VB', 'piece/NN', 'relatively/RB', 'good/JJ', 'nigiri/NN']"
I asked the chef what he recommends and he asked me if I like Uni. (,1,ask chef recommend ask uni,VB NN VB VB JJ,"['ask/VB', 'chef/NN', 'recommend/VB', 'ask/VB', 'uni/JJ']"
i would recommend reservations on weekends though.,1,recommend reservation weekend,VB NN NN,"['recommend/VB', 'reservation/NN', 'weekend/NN']"
Service is average.,1,service be average,NN VB JJ,"['service/NN', 'be/VB', 'average/JJ']"
I think the stuff was better than Disney.,1,think stuff be better disney,VB NN VB RB NN,"['think/VB', 'stuff/NN', 'be/VB', 'better/RB', 'disney/NN']"
Its located in greenewich village.,1,locate greenewich village,VB JJ NN,"['locate/VB', 'greenewich/JJ', 'village/NN']"
We got most of it back at home with us.,1,get most back home,VB JJ RB NN,"['get/VB', 'most/JJ', 'back/RB', 'home/NN']"
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",1,however want great food great price don mind decor beat place,RB VB JJ NN JJ NN VB VB NN NN NN,"['however/RB', 'want/VB', 'great/JJ', 'food/NN', 'great/JJ', 'price/NN', 'don/VB', 'mind/VB', 'decor/NN', 'beat/NN', 'place/NN']"
Molto bene!,1,molto bene,NN NN,"['molto/NN', 'bene/NN']"
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",1,ll pay least double other italian restaurant city most still don compare,VB NN JJ JJ JJ JJ NN NN RB RB VB VB,"['ll/VB', 'pay/NN', 'least/JJ', 'double/JJ', 'other/JJ', 'italian/JJ', 'restaurant/NN', 'city/NN', 'most/RB', 'still/RB', 'don/VB', 'compare/VB']"
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",1,be tired cold get restaurant then sit begin order appetizer,VB JJ JJ VB NN RB VB VB VB NN,"['be/VB', 'tired/JJ', 'cold/JJ', 'get/VB', 'restaurant/NN', 'then/RB', 'sit/VB', 'begin/VB', 'order/VB', 'appetizer/NN']"
but ive heard a lot about this for the past 2 yrs and finally decided to eat here.,1,ive lot past yr finally decide eat here,VB NN JJ NN RB VB VB RB,"['ive/VB', 'lot/NN', 'past/JJ', 'yr/NN', 'finally/RB', 'decide/VB', 'eat/VB', 'here/RB']"
esp. during happy hour!,1,esp happy hour,NN JJ NN,"['esp/NN', 'happy/JJ', 'hour/NN']"
"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.) ",1,don know uni be sea japanese happen be favorite,VB VB JJ VB NN NN VB VB JJ,"['don/VB', 'know/VB', 'uni/JJ', 'be/VB', 'sea/NN', 'japanese/NN', 'happen/VB', 'be/VB', 'favorite/JJ']"
I went there with my friend last saturday.,1,go there friend last saturday,VB RB NN JJ NN,"['go/VB', 'there/RB', 'friend/NN', 'last/JJ', 'saturday/NN']"
"those rolls were big, but not good and sashimi wasn't fresh.",1,roll be big not good sashimi wasn fresh,NN VB JJ RB JJ NN VB JJ,"['roll/NN', 'be/VB', 'big/JJ', 'not/RB', 'good/JJ', 'sashimi/NN', 'wasn/VB', 'fresh/JJ']"
"From the street it looks very hidden, and is actually an old warehouse.",1,street look very hidden be actually old warehouse,NN VB RB JJ VB RB JJ NN,"['street/NN', 'look/VB', 'very/RB', 'hidden/JJ', 'be/VB', 'actually/RB', 'old/JJ', 'warehouse/NN']"
I think the stuff was better than Disney.,1,think stuff be better disney,VB NN VB RB NN,"['think/VB', 'stuff/NN', 'be/VB', 'better/RB', 'disney/NN']"
"The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.",1,restaurant be pack first wait bar minute be seat,NN VB VB JJ VB NN NN VB VB,"['restaurant/NN', 'be/VB', 'pack/VB', 'first/JJ', 'wait/VB', 'bar/NN', 'minute/NN', 'be/VB', 'seat/VB']"
I work around the corner and tried it with a colleague for the first time.,1,work corner try colleague first time,NN NN VB NN JJ NN,"['work/NN', 'corner/NN', 'try/VB', 'colleague/NN', 'first/JJ', 'time/NN']"
"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",1,portion be huge be good order thing split rather appetizer entree person person,NN VB JJ VB JJ NN NN VB RB NN NN NN NN,"['portion/NN', 'be/VB', 'huge/JJ', 'be/VB', 'good/JJ', 'order/NN', 'thing/NN', 'split/VB', 'rather/RB', 'appetizer/NN', 'entree/NN', 'person/NN', 'person/NN']"
"Bagels are ok, but be sure not to make any special requests!",1,bagel be be sure not make special request,NN VB VB JJ RB VB JJ NN,"['bagel/NN', 'be/VB', 'be/VB', 'sure/JJ', 'not/RB', 'make/VB', 'special/JJ', 'request/NN']"
We got most of it back at home with us.,1,get most back home,VB JJ RB NN,"['get/VB', 'most/JJ', 'back/RB', 'home/NN']"
"Obviously the Chinese translation of this place does not mean Big Wong, it actually means Great Prosperity.",1,obviously chinese translation place do not mean big actually mean great prosperity,RB JJ NN NN VB RB VB JJ RB VB JJ NN,"['obviously/RB', 'chinese/JJ', 'translation/NN', 'place/NN', 'do/VB', 'not/RB', 'mean/VB', 'big/JJ', 'actually/RB', 'mean/VB', 'great/JJ', 'prosperity/NN']"
"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",1,call morning didn think be able get be able get other guest,VB NN VB VB VB JJ VB VB JJ VB JJ NN,"['call/VB', 'morning/NN', 'didn/VB', 'think/VB', 'be/VB', 'able/JJ', 'get/VB', 'be/VB', 'able/JJ', 'get/VB', 'other/JJ', 'guest/NN']"
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
less wait time for me!,1,less wait time,JJ JJ NN,"['less/JJ', 'wait/JJ', 'time/NN']"
"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",1,friend speak so much month finally make time come ear dine,NN VB RB JJ NN RB VB NN VB NN VB,"['friend/NN', 'speak/VB', 'so/RB', 'much/JJ', 'month/NN', 'finally/RB', 'make/VB', 'time/NN', 'come/VB', 'ear/NN', 'dine/VB']"
"My husband and I both ordered the Steak, medium.",1,husband order steak medium,NN VB NN NN,"['husband/NN', 'order/VB', 'steak/NN', 'medium/NN']"
Also a little more expensive than your average bagel place.,1,also little more expensive average bagel place,RB JJ RB JJ JJ NN NN,"['also/RB', 'little/JJ', 'more/RB', 'expensive/JJ', 'average/JJ', 'bagel/NN', 'place/NN']"
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",1,service be attentive yet unimposing food be far better many notorious restaurant midtown wine list be extensive well price,NN VB JJ RB JJ NN VB RB JJ JJ JJ NN NN NN NN VB JJ RB VB,"['service/NN', 'be/VB', 'attentive/JJ', 'yet/RB', 'unimposing/JJ', 'food/NN', 'be/VB', 'far/RB', 'better/JJ', 'many/JJ', 'notorious/JJ', 'restaurant/NN', 'midtown/NN', 'wine/NN', 'list/NN', 'be/VB', 'extensive/JJ', 'well/RB', 'price/VB']"
"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",1,friend speak so much month finally make time come ear dine,NN VB RB JJ NN RB VB NN VB NN VB,"['friend/NN', 'speak/VB', 'so/RB', 'much/JJ', 'month/NN', 'finally/RB', 'make/VB', 'time/NN', 'come/VB', 'ear/NN', 'dine/VB']"
